year,month,day,permits
2022,8,1,19
2022,8,2,27
2022,8,3,54
2022,8,4,36
2022,8,5,53
2022,8,6,5
2022,8,7,17
2022,8,8,34
2022,8,9,41
2022,8,10,52
2022,8,11,47
2022,8,12,40
2022,8,13,11
2022,8,14,20
2022,8,15,28
2022,8,16,45
2022,8,17,62
2022,8,18,38
2022,8,19,37
2022,8,20,14
2022,8,21,11
2022,8,22,24
2022,8,23,43
2022,8,24,69
2022,8,25,42
2022,8,26,45
2022,8,27,6
2022,8,28,3
2022,8,29,32
2022,8,30,33
2022,8,31,44
2022,9,1,43
2022,9,2,53
2022,9,3,1
2022,9,4,11
2022,9,5,5
2022,9,6,61
2022,9,7,31
2022,9,8,28
2022,9,9,53
2022,9,10,2
2022,9,11,1
2022,9,12,41
2022,9,13,40
2022,9,14,55
2022,9,15,43
2022,9,16,34
2022,9,18,19
2022,9,19,23
2022,9,20,41
2022,9,21,41
2022,9,22,29
2022,9,23,49
2022,9,24,9
2022,9,25,17
2022,9,26,41
2022,9,27,54
2022,9,28,38
2022,9,29,18
2022,9,30,49
2022,10,1,3
2022,10,2,11
2022,10,3,21
2022,10,4,33
2022,10,5,64
2022,10,6,46
2022,10,7,32
2022,10,9,19
2022,10,10,31
2022,10,11,36
2022,10,12,59
2022,10,13,22
2022,10,14,40
2022,10,15,25
2022,10,16,8
2022,10,17,23
2022,10,18,45
2022,10,19,60
2022,10,20,30
2022,10,21,24
2022,10,22,17
2022,10,23,10
2022,10,24,35
2022,10,25,37
2022,10,26,37
2022,10,27,34
2022,10,28,45
2022,10,31,38
2022,11,7,45
2022,11,8,37
2022,11,9,56
2022,11,10,32
2022,11,13,3
2022,11,14,46
2022,11,15,45
2022,11,16,35
2022,11,17,53
2022,11,18,38
2022,11,19,3
2022,11,20,8
2022,11,21,25
2022,11,22,38
2022,11,23,45
2022,11,26,2
2022,11,27,5
2022,11,28,30
2022,11,29,40
2022,11,30,42
2022,12,1,39
2022,12,2,34
2022,12,3,3
2022,12,4,2
2022,12,5,51
2022,12,6,42
2022,12,7,47
2022,12,8,44
2022,12,9,27
2022,12,11,2
2022,12,12,30
2022,12,13,36
2022,12,14,49
2022,12,15,25
2022,12,16,33
2022,12,17,3
2022,12,19,39
2022,12,20,42
2022,12,21,34
2022,12,22,20
2022,12,27,38
2022,12,28,34
2022,12,29,29
2022,12,30,22
2022,12,31,4
2023,1,3,33
2023,1,4,38
2023,1,5,34
2023,1,6,25
2023,1,9,36
2023,1,10,36
2023,1,11,35
2023,1,12,27
2023,1,13,36
2023,1,15,1
2023,1,16,5
2023,1,17,43
2023,1,18,53
2023,1,19,24
2023,1,20,38
2023,1,22,1
2023,1,23,38
2023,1,24,40
2023,1,25,25
2023,1,26,35
2023,1,27,26
2023,1,28,2
2023,1,30,35
2023,1,31,22
2023,2,3,48
2023,2,5,7
2023,2,6,27
2023,2,7,38
2023,2,8,53
2023,2,9,29
2023,2,10,34
2023,2,11,2
2023,2,13,24
2023,2,14,26
2023,2,15,39
2023,2,16,37
2023,2,17,49
2023,2,18,1
2023,2,20,2
2023,2,21,57
2023,2,22,48
2023,2,23,2
2023,2,24,45
2023,2,25,1
2023,2,26,17
2023,2,27,31
2023,2,28,32
2023,3,1,42
